Order_Date,Product,Category,Region,Sales,Quantity,Profit
2024-01-05,MALM Bed,Furniture,North,45000,3,8000
2024-01-12,BILLY Bookcase,Storage,South,30000,5,6000
2024-02-03,POÄNG Chair,Seating,East,20000,4,3500
2024-02-15,LINNMON Table,Tables,West,28000,6,5000
2024-03-02,MALM Bed,Furniture,South,48000,4,9000
2024-03-18,KALLAX Shelf,Storage,North,35000,7,6500
2024-04-05,POÄNG Chair,Seating,West,22000,5,4000
2024-04-20,LINNMON Table,Tables,East,30000,6,5500
2024-05-10,MALM Bed,Furniture,East,50000,5,9500
2024-05-22,KALLAX Shelf,Storage,South,37000,8,7000
2024-06-04,POÄNG Chair,Seating,North,25000,5,4500
2024-06-19,LINNMON Table,Tables,West,32000,7,6000
